Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
25-34,Expat – Asian,Retired,"10,000–20,000",18321,Investor,Very likely,"1,000,000–2,000,000",1708633,Commercial,"Palm Jumeirah,Dubai Marina,Business Bay",Self-use,"Agents,Property portals",Very important,"Developer reputation,Price per sq.ft","Parking,Swimming pool,Close to metro,Gym",1–3 months,"Fake listings,Too many listings",No,No,Yes,Weekly,Online reviews,Virtual tour,Maybe,3,Yes
45-54,Expat – Asian,Self-employed,"60,000+",67106,First-time buyer,Likely,"1,000,000–2,000,000",1504391,Villa/Townhouse,Downtown Dubai,Other,"Property portals,Social media,Agents",Very important,"Community amenities,Location","Swimming pool,Shopping mall",1–3 months,Confusing legal process,Yes,Somewhat,Yes,Weekly,Social media influencers,Physical visit,No,4,Yes
25-34,UAE National,Employed,"Below 10,000",11755,Investor,Very likely,"1,000,000–2,000,000",1619456,Apartment,"Other,Business Bay,Dubai Marina",Self-use,"Friends/Family,Property portals",Somewhat important,"Resale value,Location,Price per sq.ft","Parking,Gym",1–3 months,"Too many listings,Fake listings,Lack of analytics/data",Yes,Somewhat,No,Daily,Family,Physical visit,Maybe,3,Yes
55+,UAE National,Self-employed,"20,000–40,000",23415,Investor,Very unlikely,"500,000–1,000,000",596286,Villa/Townhouse,Jumeirah Village Circle,Rental income,"Property portals,Agents",Somewhat important,"Resale value,Location,Community amenities",Shopping mall,1–2 weeks,Poor agent response,No,No,Maybe,Daily,Friends,Agent video call,Yes,4,No
45-54,Expat – Asian,Employed,"Below 10,000",7197,Investor,Likely,"500,000–1,000,000",897762,Apartment,Other,Flip/Resell,"Agents,Friends/Family",Neutral,"Mortgage eligibility,Price per sq.ft,Rental yield","Other,Shopping mall,Swimming pool,Security",2–4 weeks,Not enough info on returns,Yes,No,Yes,Never,Online reviews,Physical visit,Maybe,3,Yes
45-54,Expat – Asian,Self-employed,"20,000–40,000",30593,Renter,Likely,"Below 500,000",396644,Apartment,Palm Jumeirah,Self-use,"Agents,Property portals,Friends/Family",Very important,"Price per sq.ft,Location,Rental yield","Gym,Close to metro,Security",Less than 1 week,Confusing legal process,No,No,No,Weekly,Self,Virtual tour,Yes,5,Maybe
35-44,Expat – Arab,Self-employed,"20,000–40,000",25222,Other,Likely,"1,000,000–2,000,000",1156988,Villa/Townhouse,"Other,Jumeirah Village Circle,Palm Jumeirah",Flip/Resell,"Agents,Property portals",Somewhat important,"Developer reputation,Mortgage eligibility,Location","Parking,Swimming pool,Security,Gym",1–2 weeks,"Poor agent response,Too many listings",No,No,Maybe,Monthly,Online reviews,Online photos only,Yes,3,Yes
25-34,Expat – Asian,Homemaker,"20,000–40,000",29783,Other,Likely,"500,000–1,000,000",661050,Apartment,Other,Flip/Resell,"Agents,Property portals,Friends/Family",Very important,"Other,Mortgage eligibility","Swimming pool,Security,Parking,Gym",More than 3 months,Fake listings,No,No,Maybe,Monthly,Family,Physical visit,No,4,Maybe
25-34,Expat – Asian,Homemaker,"10,000–20,000",15888,Renter,Unlikely,"500,000–1,000,000",867899,Villa/Townhouse,"Arabian Ranches,Business Bay,Dubai Marina",Other,"Other,Property portals",Somewhat important,"Resale value,Developer reputation",Shopping mall,More than 3 months,"Too many listings,Poor agent response",No,Somewhat,Maybe,Daily,Family,Agent video call,Maybe,3,Yes
35-44,Expat – Asian,Self-employed,"Below 10,000",8240,First-time buyer,Neutral,"500,000–1,000,000",752261,Apartment,Arabian Ranches,Self-use,"Property portals,Friends/Family,Social media",Somewhat important,"Developer reputation,Rental yield",Close to metro,1–3 months,"Fake listings,Poor agent response",Yes,No,No,Monthly,Online reviews,Online photos only,Yes,4,Maybe
18-24,Expat – Asian,Employed,"20,000–40,000",11401,Investor,Unlikely,"1,000,000–2,000,000",1333807,Apartment,"Arabian Ranches,Palm Jumeirah",Other,"Agents,Property portals",Somewhat important,"Rental yield,Community amenities","Shopping mall,Swimming pool",More than 3 months,"Too many listings,Poor agent response,Not enough info on returns",No,No,No,Daily,Family,Physical visit,Maybe,3,No
55+,Expat – Asian,Homemaker,"10,000–20,000",12365,First-time buyer,Unlikely,"5,000,000+",10764674,Commercial,Dubai Marina,Rental income,Property portals,Very important,"Resale value,Price per sq.ft",Swimming pool,2–4 weeks,Lack of analytics/data,Yes,Somewhat,No,Rarely,Family,Physical visit,Yes,5,No
25-34,GCC National,Employed,"20,000–40,000",36285,Other,Unlikely,"500,000–1,000,000",868572,Apartment,"Jumeirah Village Circle,Downtown Dubai",Vacation home,Property portals,Very important,"Developer reputation,Price per sq.ft","Parking,Gym,Swimming pool,Security",More than 3 months,Confusing legal process,No,No,Maybe,Weekly,Family,Online photos only,Yes,1,No
18-24,Expat – Arab,Employed,"20,000–40,000",30383,Investor,Likely,"500,000–1,000,000",629072,Commercial,"Jumeirah Village Circle,Other,Downtown Dubai",Self-use,"Agents,Property portals",Somewhat important,"Price per sq.ft,Developer reputation","Parking,Close to metro",2–4 weeks,"Too many listings,Lack of analytics/data",Yes,Somewhat,No,Weekly,Online reviews,Physical visit,No,1,No
25-34,Other,Business owner,"60,000+",90894,First-time buyer,Very unlikely,"500,000–1,000,000",639622,Villa/Townhouse,Jumeirah Village Circle,Rental income,Property portals,Neutral,"Rental yield,Community amenities","Gym,Shopping mall,School nearby,Close to metro",1–3 months,"Fake listings,Too many listings",No,Somewhat,Maybe,Daily,Online reviews,Agent video call,No,1,Maybe
55+,Expat – Arab,Employed,"10,000–20,000",14139,Investor,Unlikely,"500,000–1,000,000",899515,Apartment,Business Bay,Rental income,"Property portals,Social media",Very important,"Mortgage eligibility,Community amenities","Shopping mall,Swimming pool",More than 3 months,"Too many listings,Not enough info on returns,Poor agent response",No,No,Yes,Monthly,Self,Physical visit,Maybe,4,Maybe
35-44,Expat – Arab,Student,"Below 10,000",7800,Investor,Neutral,"1,000,000–2,000,000",1143943,Villa/Townhouse,Dubai Marina,Self-use,"Friends/Family,Company recommendations,Property portals",Very important,"Rental yield,Price per sq.ft",Gym,2–4 weeks,Too many listings,No,No,Maybe,Monthly,Agent,Online photos only,Yes,3,Maybe
35-44,UAE National,Employed,"10,000–20,000",15874,Agent,Neutral,"500,000–1,000,000",957667,Apartment,Downtown Dubai,Self-use,Property portals,Neutral,"Resale value,Developer reputation,Price per sq.ft",Parking,2–4 weeks,"Lack of analytics/data,Too many listings",No,Somewhat,Maybe,Monthly,Self,Agent video call,Yes,2,Yes
35-44,Expat – Asian,Self-employed,"60,000+",62597,First-time buyer,Likely,"500,000–1,000,000",915692,Other,"Arabian Ranches,Downtown Dubai",Self-use,Agents,Very important,"Developer reputation,Location,Community amenities","Security,Gym,Shopping mall,Parking",2–4 weeks,"Too many listings,Poor agent response,Lack of analytics/data",No,Somewhat,No,Weekly,Self,Physical visit,Maybe,4,Maybe
35-44,Expat – Asian,Self-employed,"20,000–40,000",21635,Investor,Very likely,"5,000,000+",6085716,Apartment,"Downtown Dubai,Jumeirah Village Circle",Self-use,"Property portals,Friends/Family",Somewhat important,"Resale value,Price per sq.ft","School nearby,Parking,Swimming pool",1–2 weeks,Poor agent response,No,Somewhat,No,Daily,Online reviews,Agent video call,Maybe,4,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",12656,First-time buyer,Likely,"Below 500,000",325907,Apartment,"Dubai Marina,Jumeirah Village Circle,Arabian Ranches",Self-use,"Agents,Property portals",Not very important,"Mortgage eligibility,Price per sq.ft,Developer reputation","Close to metro,Security,Swimming pool,School nearby",More than 3 months,"Lack of analytics/data,Fake listings,Poor agent response",Yes,No,Yes,Rarely,Self,Physical visit,No,5,No
35-44,Expat – Arab,Employed,"20,000–40,000",31423,First-time buyer,Very likely,"1,000,000–2,000,000",1433023,Villa/Townhouse,"Downtown Dubai,Jumeirah Village Circle",Self-use,"Company recommendations,Property portals",Somewhat important,"Price per sq.ft,Developer reputation","Close to metro,Swimming pool,Security",2–4 weeks,"Poor agent response,Lack of analytics/data",Yes,Somewhat,Maybe,Monthly,Friends,Physical visit,No,3,Yes
55+,Expat – Asian,Self-employed,"Below 10,000",7909,Renter,Likely,"Below 500,000",291196,Apartment,"Downtown Dubai,Arabian Ranches",Rental income,"Property portals,Friends/Family",Very important,"Mortgage eligibility,Resale value",Other,1–3 months,"Too many listings,Fake listings,Not enough info on returns",Yes,Somewhat,Yes,Rarely,Family,Virtual tour,Maybe,4,Maybe
25-34,Expat – Asian,Business owner,"20,000–40,000",29159,Renter,Unlikely,"2,000,000–5,000,000",2365690,Apartment,"Downtown Dubai,Business Bay,Arabian Ranches",Rental income,"Social media,Property portals",Neutral,"Price per sq.ft,Rental yield","Gym,Close to metro,Parking,Security",More than 3 months,"Not enough info on returns,Fake listings,Confusing legal process",No,Somewhat,Yes,Weekly,Social media influencers,Physical visit,Maybe,4,Yes
35-44,Expat – Asian,Student,"10,000–20,000",17794,First-time buyer,Very likely,"2,000,000–5,000,000",3493080,Land,"Jumeirah Village Circle,Business Bay,Dubai Marina",Rental income,"Property portals,Agents,Social media",Not very important,"Mortgage eligibility,Location,Community amenities",Parking,1–2 weeks,Not enough info on returns,No,Somewhat,No,Never,Agent,Online photos only,No,4,No
25-34,Expat – Arab,Employed,"20,000–40,000",22948,First-time buyer,Unlikely,"500,000–1,000,000",835645,Villa/Townhouse,"Dubai Marina,Arabian Ranches,Other",Self-use,"Property portals,Company recommendations,Social media",Very important,"Price per sq.ft,Developer reputation","Gym,School nearby,Parking",1–3 months,Too many listings,No,Somewhat,No,Daily,Family,Online photos only,No,2,No
25-34,Expat – Arab,Employed,"Below 10,000",8555,Investor,Very likely,"1,000,000–2,000,000",1358145,Apartment,Other,Self-use,Social media,Very important,"Mortgage eligibility,Location","Shopping mall,Security",2–4 weeks,"Lack of analytics/data,Confusing legal process,Too many listings",Yes,No,No,Rarely,Friends,Physical visit,Maybe,1,No
45-54,Expat – Asian,Employed,"20,000–40,000",30805,First-time buyer,Likely,"1,000,000–2,000,000",1168563,Apartment,"Dubai Marina,Business Bay",Vacation home,Property portals,Somewhat important,"Resale value,Price per sq.ft","School nearby,Security,Shopping mall",2–4 weeks,"Not enough info on returns,Poor agent response",No,Somewhat,No,Monthly,Family,Online photos only,Maybe,3,Maybe
35-44,Expat – Asian,Self-employed,"20,000–40,000",35117,First-time buyer,Likely,"1,000,000–2,000,000",1344480,Villa/Townhouse,Arabian Ranches,Other,"Social media,Friends/Family",Somewhat important,"Resale value,Price per sq.ft","Parking,Gym",2–4 weeks,"Not enough info on returns,Fake listings,Too many listings",Yes,No,Maybe,Rarely,Friends,Virtual tour,Maybe,3,No
25-34,Expat – Arab,Employed,"20,000–40,000",26290,First-time buyer,Likely,"1,000,000–2,000,000",1405322,Apartment,"Downtown Dubai,Dubai Marina,Business Bay",Rental income,"Property portals,Company recommendations,Agents",Very important,"Location,Price per sq.ft","Security,Swimming pool",1–3 months,Lack of analytics/data,Yes,Yes,Maybe,Weekly,Online reviews,Virtual tour,Yes,4,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",14259,First-time buyer,Likely,"1,000,000–2,000,000",1320546,Apartment,"Jumeirah Village Circle,Arabian Ranches,Dubai Marina",Self-use,"Property portals,Friends/Family,Social media",Very important,"Resale value,Location,Community amenities",Close to metro,More than 3 months,Lack of analytics/data,Yes,No,No,Weekly,Self,Online photos only,Yes,5,No
35-44,Expat – Arab,Employed,"20,000–40,000",21143,Other,Likely,"500,000–1,000,000",666861,Apartment,"Dubai Marina,Downtown Dubai,Jumeirah Village Circle",Flip/Resell,Property portals,Very important,"Mortgage eligibility,Price per sq.ft,Rental yield","School nearby,Swimming pool",More than 3 months,"Confusing legal process,Other",Yes,No,Maybe,Weekly,Self,Online photos only,No,4,Yes
25-34,GCC National,Employed,"Below 10,000",7167,Other,Likely,"500,000–1,000,000",589424,Villa/Townhouse,Other,Self-use,"Friends/Family,Social media",Somewhat important,"Rental yield,Mortgage eligibility,Developer reputation",Security,1–2 weeks,"Fake listings,Not enough info on returns",Yes,No,No,Rarely,Family,Physical visit,Yes,5,Yes
25-34,GCC National,Student,"60,000+",86360,Developer,Neutral,"1,000,000–2,000,000",1398284,Commercial,Business Bay,Self-use,"Property portals,Friends/Family",Somewhat important,"Resale value,Community amenities","Close to metro,Security,Parking,Gym",1–3 months,"Not enough info on returns,Too many listings",No,Somewhat,No,Monthly,Self,Online photos only,Maybe,3,No
25-34,Expat – Western,Employed,"60,000+",53747,First-time buyer,Likely,"1,000,000–2,000,000",1673583,Apartment,Downtown Dubai,Vacation home,Property portals,Neutral,"Location,Resale value","Swimming pool,Other,Shopping mall,Parking",1–3 months,"Fake listings,Other",No,Somewhat,No,Weekly,Self,Agent video call,Yes,4,Maybe
18-24,Expat – Asian,Student,"10,000–20,000",11957,Other,Likely,"5,000,000+",10691586,Apartment,"Other,Dubai Marina,Jumeirah Village Circle",Self-use,"Property portals,Social media",Somewhat important,"Mortgage eligibility,Rental yield","Security,School nearby,Swimming pool,Shopping mall",1–2 weeks,"Confusing legal process,Lack of analytics/data",No,Somewhat,No,Monthly,Family,Physical visit,No,4,Maybe
25-34,Expat – Asian,Business owner,"20,000–40,000",18094,Investor,Likely,"500,000–1,000,000",1063070,Apartment,"Downtown Dubai,Other,Palm Jumeirah",Vacation home,"Property portals,Friends/Family",Somewhat important,"Resale value,Price per sq.ft,Developer reputation",Close to metro,More than 3 months,"Fake listings,Poor agent response,Not enough info on returns",No,Somewhat,No,Monthly,Self,Online photos only,Maybe,3,No
35-44,Expat – Asian,Employed,"10,000–20,000",19614,First-time buyer,Very likely,"Below 500,000",424138,Villa/Townhouse,"Dubai Marina,Downtown Dubai,Other",Rental income,"Agents,Property portals",Very important,"Community amenities,Price per sq.ft,Resale value","Close to metro,Parking,Shopping mall,Swimming pool",1–3 months,"Lack of analytics/data,Too many listings",Yes,No,Maybe,Monthly,Self,Physical visit,Maybe,4,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",33878,Investor,Likely,"Below 500,000",348821,Apartment,Arabian Ranches,Rental income,"Agents,Social media",Somewhat important,"Rental yield,Price per sq.ft",Close to metro,1–3 months,Lack of analytics/data,Yes,No,Maybe,Daily,Family,Physical visit,No,2,Maybe
35-44,Expat – Arab,Employed,"Below 10,000",9342,First-time buyer,Unlikely,"500,000–1,000,000",777596,Commercial,Palm Jumeirah,Self-use,Agents,Neutral,"Price per sq.ft,Mortgage eligibility","Gym,Parking,Security,Other",More than 3 months,"Lack of analytics/data,Fake listings,Poor agent response",No,No,Yes,Daily,Online reviews,Agent video call,Yes,5,Maybe
45-54,Expat – Asian,Student,"Below 10,000",8271,Developer,Very unlikely,"Below 500,000",444133,Land,Business Bay,Self-use,Friends/Family,Somewhat important,"Resale value,Rental yield,Mortgage eligibility",Close to metro,1–3 months,"Lack of analytics/data,Too many listings,Poor agent response",Yes,Somewhat,Maybe,Daily,Social media influencers,Agent video call,Yes,4,No
25-34,GCC National,Employed,"10,000–20,000",14336,Renter,Likely,"500,000–1,000,000",867124,Villa/Townhouse,"Downtown Dubai,Dubai Marina,Jumeirah Village Circle",Self-use,"Property portals,Agents,Social media",Neutral,"Resale value,Price per sq.ft","Security,Swimming pool,Parking",1–2 weeks,"Lack of analytics/data,Fake listings",No,Somewhat,Maybe,Rarely,Self,Physical visit,Maybe,5,Yes
25-34,Expat – Asian,Employed,"Below 10,000",6119,Investor,Likely,"Below 500,000",317539,Commercial,"Downtown Dubai,Arabian Ranches",Other,"Other,Property portals,Social media",Neutral,"Price per sq.ft,Community amenities,Mortgage eligibility",Security,1–2 weeks,Fake listings,No,Somewhat,Maybe,Rarely,Self,Online photos only,Maybe,1,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",24995,Investor,Neutral,"500,000–1,000,000",843099,Apartment,Downtown Dubai,Self-use,Friends/Family,Neutral,"Mortgage eligibility,Community amenities","School nearby,Gym,Security",2–4 weeks,"Other,Lack of analytics/data,Fake listings",No,No,No,Weekly,Social media influencers,Agent video call,No,5,Yes
35-44,Expat – Asian,Employed,"Below 10,000",7195,Other,Very likely,"1,000,000–2,000,000",1891931,Apartment,"Palm Jumeirah,Arabian Ranches",Rental income,Property portals,Neutral,"Rental yield,Mortgage eligibility","School nearby,Security",1–2 weeks,"Lack of analytics/data,Not enough info on returns,Fake listings",No,No,Maybe,Daily,Friends,Physical visit,Maybe,4,Maybe
25-34,Expat – Asian,Homemaker,"Below 10,000",9390,Investor,Very likely,"5,000,000+",14210218,Villa/Townhouse,"Arabian Ranches,Dubai Marina",Rental income,Agents,Somewhat important,"Developer reputation,Price per sq.ft",Close to metro,1–2 weeks,Not enough info on returns,Yes,No,Yes,Weekly,Online reviews,Physical visit,Maybe,3,No
45-54,Expat – Western,Employed,"40,000–60,000",38865,Other,Very likely,"500,000–1,000,000",1090044,Villa/Townhouse,"Palm Jumeirah,Jumeirah Village Circle",Self-use,Property portals,Very important,"Community amenities,Resale value,Rental yield","Parking,Security",2–4 weeks,Not enough info on returns,No,No,Maybe,Weekly,Self,Agent video call,Maybe,4,Yes
35-44,Expat – Asian,Employed,"Below 10,000",7254,Renter,Very likely,"500,000–1,000,000",800850,Commercial,Downtown Dubai,Flip/Resell,"Agents,Property portals,Friends/Family",Very important,"Mortgage eligibility,Price per sq.ft",Shopping mall,2–4 weeks,Confusing legal process,No,No,Maybe,Daily,Agent,Virtual tour,Yes,4,Yes
45-54,Other,Employed,"10,000–20,000",16525,First-time buyer,Very likely,"2,000,000–5,000,000",3230185,Land,"Business Bay,Downtown Dubai",Rental income,"Friends/Family,Property portals",Somewhat important,"Price per sq.ft,Location","Parking,Close to metro,Gym",More than 3 months,"Lack of analytics/data,Confusing legal process,Not enough info on returns",No,No,No,Daily,Friends,Physical visit,Yes,2,Maybe
25-34,GCC National,Retired,"10,000–20,000",13807,Renter,Likely,"500,000–1,000,000",764695,Apartment,"Jumeirah Village Circle,Downtown Dubai",Rental income,"Property portals,Friends/Family,Social media",Very important,"Developer reputation,Mortgage eligibility","Gym,Other,Parking",2–4 weeks,"Other,Lack of analytics/data",No,Yes,No,Monthly,Self,Physical visit,Yes,3,No
55+,Expat – Arab,Business owner,"60,000+",92298,Investor,Unlikely,"500,000–1,000,000",836363,Apartment,"Other,Palm Jumeirah",Flip/Resell,"Agents,Friends/Family,Property portals",Somewhat important,"Mortgage eligibility,Community amenities","Security,Gym,Swimming pool,School nearby",More than 3 months,"Not enough info on returns,Too many listings,Fake listings",No,No,Maybe,Monthly,Self,Virtual tour,Yes,2,Maybe
35-44,Expat – Asian,Employed,"Below 10,000",4632,First-time buyer,Likely,"Below 500,000",375506,Apartment,"Palm Jumeirah,Other,Dubai Marina",Self-use,"Property portals,Friends/Family",Somewhat important,"Rental yield,Location,Other","Parking,Security,Swimming pool,Gym",1–3 months,"Too many listings,Lack of analytics/data,Poor agent response",No,No,Yes,Daily,Self,Agent video call,No,3,Yes
35-44,Expat – Western,Self-employed,"40,000–60,000",44137,Investor,Likely,"500,000–1,000,000",758311,Commercial,"Jumeirah Village Circle,Arabian Ranches",Flip/Resell,"Social media,Property portals",Somewhat important,"Community amenities,Price per sq.ft","Gym,Parking,Close to metro",1–3 months,Fake listings,No,No,Maybe,Weekly,Family,Online photos only,No,2,Maybe
18-24,Expat – Asian,Student,"10,000–20,000",16927,Investor,Unlikely,"Below 500,000",394419,Land,"Palm Jumeirah,Arabian Ranches",Self-use,"Other,Social media,Property portals",Very important,"Location,Rental yield",Swimming pool,2–4 weeks,Lack of analytics/data,No,No,Maybe,Weekly,Agent,Physical visit,Yes,3,Maybe
45-54,GCC National,Business owner,"10,000–20,000",28683,Investor,Very likely,"5,000,000+",6278151,Villa/Townhouse,Arabian Ranches,Flip/Resell,"Company recommendations,Property portals",Not at all important,"Other,Resale value","Parking,Gym,School nearby,Swimming pool",More than 3 months,"Fake listings,Poor agent response",No,No,Yes,Daily,Agent,Online photos only,Maybe,4,No
25-34,Expat – Asian,Employed,"10,000–20,000",14502,First-time buyer,Very likely,"Below 500,000",348043,Villa/Townhouse,Dubai Marina,Self-use,"Property portals,Friends/Family,Company recommendations",Not very important,"Location,Mortgage eligibility","Parking,Security",1–2 weeks,"Lack of analytics/data,Too many listings",No,No,No,Weekly,Self,Agent video call,Yes,3,Maybe
35-44,Expat – Asian,Employed,"10,000–20,000",14853,First-time buyer,Very unlikely,"1,000,000–2,000,000",1397801,Villa/Townhouse,Downtown Dubai,Flip/Resell,Agents,Very important,"Community amenities,Price per sq.ft,Developer reputation","Close to metro,Gym,Parking",1–3 months,"Too many listings,Lack of analytics/data",No,No,Maybe,Weekly,Family,Online photos only,No,3,Yes
25-34,Expat – Asian,Employed,"20,000–40,000",25320,First-time buyer,Very likely,"1,000,000–2,000,000",4040893,Apartment,Arabian Ranches,Self-use,"Property portals,Friends/Family",Very important,"Mortgage eligibility,Price per sq.ft,Resale value",Shopping mall,2–4 weeks,"Fake listings,Lack of analytics/data,Not enough info on returns",No,No,No,Monthly,Social media influencers,Virtual tour,Maybe,4,Yes
35-44,GCC National,Employed,"20,000–40,000",27557,Investor,Neutral,"1,000,000–2,000,000",1307289,Apartment,"Business Bay,Dubai Marina,Palm Jumeirah",Self-use,Company recommendations,Somewhat important,"Location,Resale value,Mortgage eligibility",Shopping mall,1–3 months,"Lack of analytics/data,Too many listings,Confusing legal process",No,Yes,Yes,Weekly,Self,Virtual tour,Maybe,5,Maybe
25-34,Expat – Arab,Employed,"10,000–20,000",11413,First-time buyer,Neutral,"500,000–1,000,000",623361,Apartment,"Dubai Marina,Business Bay,Jumeirah Village Circle",Vacation home,"Agents,Social media,Property portals",Very important,"Rental yield,Mortgage eligibility",Security,1–3 months,"Fake listings,Confusing legal process",Yes,No,No,Daily,Family,Virtual tour,Yes,4,Yes
35-44,Expat – Asian,Employed,"10,000–20,000",16515,First-time buyer,Very unlikely,"Below 500,000",456487,Land,"Business Bay,Downtown Dubai,Arabian Ranches",Self-use,"Property portals,Friends/Family,Agents",Very important,"Price per sq.ft,Mortgage eligibility,Community amenities",Shopping mall,2–4 weeks,"Fake listings,Too many listings,Confusing legal process",Yes,No,Maybe,Daily,Family,Agent video call,No,2,Maybe
35-44,Other,Employed,"10,000–20,000",31646,First-time buyer,Very likely,"Below 500,000",371064,Apartment,Palm Jumeirah,Other,"Company recommendations,Agents,Other",Very important,"Mortgage eligibility,Developer reputation,Price per sq.ft","Swimming pool,Close to metro,Security",2–4 weeks,"Poor agent response,Too many listings",No,No,Maybe,Weekly,Family,Physical visit,Yes,3,No
45-54,Expat – Western,Employed,"Below 10,000",6321,First-time buyer,Very unlikely,"Below 500,000",302058,Villa/Townhouse,"Dubai Marina,Business Bay",Self-use,"Agents,Company recommendations",Very important,"Rental yield,Location,Community amenities",Close to metro,2–4 weeks,Fake listings,No,No,Maybe,Daily,Self,Virtual tour,No,2,Maybe
35-44,GCC National,Employed,"Below 10,000",8284,Investor,Very likely,"500,000–1,000,000",899068,Villa/Townhouse,"Arabian Ranches,Jumeirah Village Circle,Downtown Dubai",Self-use,"Friends/Family,Agents,Social media",Not very important,"Resale value,Location","Swimming pool,Parking",1–2 weeks,"Lack of analytics/data,Confusing legal process",Yes,No,Maybe,Rarely,Online reviews,Physical visit,Yes,4,Yes
25-34,Expat – Asian,Employed,"20,000–40,000",33120,Investor,Neutral,"Below 500,000",236121,Apartment,Other,Vacation home,Property portals,Very important,"Resale value,Price per sq.ft",School nearby,1–2 weeks,Confusing legal process,Yes,Somewhat,Maybe,Daily,Online reviews,Physical visit,Yes,4,No
18-24,Expat – Arab,Student,"20,000–40,000",28775,Other,Likely,"1,000,000–2,000,000",1388689,Villa/Townhouse,"Other,Palm Jumeirah,Dubai Marina",Rental income,"Agents,Company recommendations",Somewhat important,"Rental yield,Mortgage eligibility,Community amenities",Swimming pool,2–4 weeks,"Not enough info on returns,Other",No,No,Maybe,Daily,Self,Physical visit,Maybe,2,Yes
25-34,Expat – Western,Business owner,"40,000–60,000",54460,Renter,Unlikely,"500,000–1,000,000",844315,Villa/Townhouse,"Dubai Marina,Downtown Dubai",Self-use,Agents,Not at all important,"Price per sq.ft,Developer reputation,Community amenities","Shopping mall,Security",1–2 weeks,Lack of analytics/data,No,Yes,No,Monthly,Family,Online photos only,Yes,4,Yes
25-34,Expat – Western,Employed,"10,000–20,000",15677,Investor,Likely,"500,000–1,000,000",750829,Apartment,Jumeirah Village Circle,Rental income,"Property portals,Agents",Somewhat important,"Developer reputation,Community amenities",Close to metro,More than 3 months,"Fake listings,Too many listings,Lack of analytics/data",No,No,No,Weekly,Self,Virtual tour,Maybe,4,No
25-34,Expat – Arab,Self-employed,"10,000–20,000",14793,Renter,Unlikely,"5,000,000+",7175524,Villa/Townhouse,Arabian Ranches,Self-use,Agents,Not at all important,"Location,Price per sq.ft,Other",Other,Less than 1 week,"Not enough info on returns,Too many listings,Lack of analytics/data",No,Somewhat,No,Weekly,Agent,Online photos only,Maybe,4,Yes
18-24,Expat – Asian,Self-employed,"20,000–40,000",52131,Developer,Unlikely,"Below 500,000",456020,Apartment,Business Bay,Rental income,"Agents,Property portals,Company recommendations",Neutral,"Mortgage eligibility,Community amenities","School nearby,Security",More than 3 months,"Fake listings,Poor agent response,Lack of analytics/data",Yes,No,Yes,Monthly,Self,Physical visit,Maybe,1,Maybe
45-54,Expat – Arab,Employed,"40,000–60,000",49480,First-time buyer,Likely,"Below 500,000",200000,Land,"Business Bay,Palm Jumeirah,Dubai Marina",Rental income,"Property portals,Agents",Somewhat important,"Resale value,Developer reputation","Parking,Shopping mall",1–3 months,"Confusing legal process,Fake listings,Poor agent response",No,Somewhat,No,Daily,Self,Physical visit,No,5,No
18-24,Expat – Asian,Employed,"40,000–60,000",44045,Renter,Very likely,"2,000,000–5,000,000",2633626,Apartment,Palm Jumeirah,Self-use,"Property portals,Agents,Company recommendations",Neutral,"Community amenities,Location","Shopping mall,Parking,Close to metro",More than 3 months,"Not enough info on returns,Too many listings",No,Yes,Yes,Daily,Self,Virtual tour,No,3,Maybe
35-44,Expat – Asian,Student,"10,000–20,000",17890,Renter,Likely,"2,000,000–5,000,000",3578553,Villa/Townhouse,Arabian Ranches,Self-use,"Property portals,Agents",Somewhat important,"Price per sq.ft,Mortgage eligibility,Location","Close to metro,School nearby,Parking",1–3 months,Too many listings,No,Yes,No,Weekly,Self,Virtual tour,No,3,No
25-34,GCC National,Employed,"20,000–40,000",32248,First-time buyer,Unlikely,"1,000,000–2,000,000",1560184,Apartment,"Jumeirah Village Circle,Other",Vacation home,Property portals,Somewhat important,"Location,Rental yield","Gym,Swimming pool,Parking",2–4 weeks,Too many listings,No,Somewhat,No,Weekly,Family,Virtual tour,No,5,Maybe
45-54,UAE National,Employed,"10,000–20,000",18793,Investor,Likely,"5,000,000+",10054105,Villa/Townhouse,"Downtown Dubai,Business Bay",Self-use,Company recommendations,Somewhat important,"Price per sq.ft,Developer reputation",Security,More than 3 months,"Too many listings,Other",No,Somewhat,No,Daily,Agent,Agent video call,No,3,Maybe
18-24,Expat – Asian,Employed,"40,000–60,000",52934,Other,Neutral,"500,000–1,000,000",908276,Apartment,"Business Bay,Downtown Dubai,Other",Other,"Property portals,Social media",Very important,"Price per sq.ft,Rental yield,Mortgage eligibility","Parking,Gym",1–3 months,"Too many listings,Lack of analytics/data,Not enough info on returns",No,Somewhat,No,Rarely,Family,Physical visit,No,3,No
